text,label
I love this movie,1
This film was terrible,0
Amazing experience and great acting,1
I would not recommend it,0
Absolutely fantastic!,1
Pretty boring and slow,0
Brilliant plot and characters,1
Waste of time,0
Enjoyable and heartwarming,1
Disappointing and dull,0
The soundtrack was incredible,1
The pacing was awful,0
Superb performances,1
Not worth the ticket,0
A touching and clever story,1
The dialogue felt unnatural,0
Visually stunning,1
I fell asleep halfway,0
Pure joy to watch,1
One of the worst films this year,0
